iter	Passed	Remaining
542	33417	28124
543	33495	28076
544	33539	28000
545	33592	27931
546	33637	27857
547	33691	27789
548	33750	27725
549	33805	27658
550	33874	27603
551	33932	27539
552	34002	27484
553	34052	27414
554	34096	27338
555	34156	27276
556	34205	27205
557	34247	27128
558	34298	27058
559	34362	26998
560	34457	26963
561	34549	26926
562	34644	26891
563	34749	26863
564	34842	26825
565	34884	26748
566	34968	26704
567	35004	26623
568	35101	26588
569	35136	26506
570	35207	26451
571	35241	26369
572	35336	26332
573	35420	26288
574	35463	26212
575	35529	26154
576	35563	26071
577	35651	26029
578	35742	25988
579	35780	25910
580	35831	25840
581	35942	25814
582	35976	25732
583	36080	25700
584	36117	25622
585	36197	25573
586	36302	25541
587	36353	25472
588	36427	25418
589	36487	25356
590	36533	25283
591	36613	25233
592	36700	25188
593	36808	25158
594	36874	25099
595	36919	25025
596	36979	24962
597	37017	24884
598	37056	24807
599	37102	24735
600	37147	24662
601	37231	24614
602	37272	24539
603	37325	24471
604	37359	24391
605	37408	24321
606	37448	24245
607	37547	24208
608	37594	24137
609	37632	24059
610	37670	23983
611	37710	23908
612	37811	23871
613	37885	23817
614	37930	23745
615	37993	23684
616	38035	23610
617	38080	23538
618	38124	23465
619	38247	23441
620	38346	23402
621	38398	23335
622	38509	23303
623	38595	23256
624	38632	23179
625	38674	23105
626	38775	23067
627	38823	22997
628	38879	22932
629	38951	22876
630	38997	22804
631	39062	22745
632	39117	22679
633	39184	22620
634	39247	22559
635	39286	22484
636	39324	22409
637	39361	22333
638	39399	22258
639	39495	22215
640	39545	22147
641	39592	22078
642	39637	22006
643	39723	21958
644	39767	21887
645	39860	21842
646	39902	21770
647	39950	21701
648	40006	21637
649	40067	21574
650	40124	21510
651	40178	21444
652	40256	21392
653	40305	21323
654	40345	21250
655	40399	21184
656	40482	21134
657	40521	21061
658	40597	21007
659	40696	20964
660	40738	20893
661	40840	20852
662	40873	20775
663	40927	20710
664	40963	20635
665	41057	20590
666	41121	20529
667	41160	20456
668	41242	20405
669	41275	20329
670	41372	20285
671	41456	20234
672	41523	20175
673	41566	20104
674	41621	20039
675	41653	19964
676	41691	19891
677	41727	19817
678	41768	19746
679	41854	19696
680	41893	19624
681	41973	19571
682	42026	19505
683	42127	19462
684	42178	19396
685	42286	19355
686	42367	19303
687	42403	19229
688	42471	19170
689	42537	19111
690	42593	19046
691	42637	18977
692	42666	18901
693	42787	18865
694	42847	18803
695	42884	18731
696	42970	18680
697	43055	18628
698	43169	18589
699	43206	18517
700	43254	18449
701	43349	18401
702	43404	18337
703	43493	18286
704	43531	18215
705	43604	18158
706	43642	18086
707	43688	18018
708	43758	17960
709	43796	17888
710	43905	17846
711	43959	17781
712	44003	17712
713	44112	17669
714	44143	17595
715	44285	17565
716	44323	17494
717	44408	17441
718	44506	17394
719	44590	17340
720	44635	17272
721	44706	17213
722	44759	17148
723	44850	17097
724	44948	17049
725	44985	16977
726	45068	16924
727	45116	16856
728	45214	16808
729	45268	16743
730	45335	16683
731	45370	16610
732	45433	16549
733	45476	16480
734	45583	16434
735	45624	16365
736	45709	16311
737	45745	16240
738	45808	16178
739	45870	16116
740	45909	16046
741	45955	15979
742	46002	15912
743	46035	15840
744	46122	15786
745	46184	15725
746	46290	15678
747	46390	15628
748	46429	15558
749	46517	15505
750	46558	15436
751	46588	15364
752	46628	15295
753	46663	15224
754	46751	15171
755	46835	15116
756	46901	15055
757	46987	15001
758	47036	14935
759	47128	14882
760	47165	14812
761	47239	14754
762	47297	14691
763	47364	14630
764	47451	14576
765	47509	14513
766	47566	14449
767	47656	14396
768	47695	14327
769	47794	14276
770	47832	14207
771	47887	14143
772	48006	14097
773	48050	14030
774	48127	13972
775	48228	13921
776	48310	13865
777	48352	13797
778	48392	13728
779	48488	13676
780	48549	13613
781	48637	13558
782	48725	13503
783	48769	13436
784	48812	13369
785	48860	13302
786	48946	13247
787	48980	13177
788	49018	13108
789	49059	13041
